ac_nmdwh,dim_domain_mkt_hist
fraud,chargebackreviewhistory
fraud,chargebackstatus
fraud,chargebackstatusaudittrail
fraud,chargebacktype
fraud,fraudactionaudittrail
fraud,fraudanalysis
fraud,fraudbin
fraud,fraudcustomnote
fraud,fraudiplookup
fraud,fraudreview
fraud,fraudreview_otm_orderreview
fraud,fraudreviewdispositiontype
fraud,fraudreviewhistory
fraud,fraudreviewsource
fraud,fraudreviewstatus
fraud,fraudruletype
fraud,fraudstatusaudittrail
fraud,orderreview
fraud,pksequence
gddelayedpayment,gdshop_invoice_header
gddelayedpayment,gdshop_invoice_item
gdmastercatalog,catalog_countrysite
gdmastercatalog,catalog_pricegroup
gdmastercatalog,catalog_pricegrouptype
gdmastercatalog,catalog_product
gdmastercatalog,catalog_productprivatelabelprice
gdmastercatalog,catalog_productprivatelabelpricesale
gdmastercatalog,catalog_productresellertype
gdmastercatalog,catalog_productresellertypeprice
gdmasterpromo,gdshop_promoinjectedrevenuevendor
gdmasterpromo,gdshop_promostandard
gdmasterpromo,gdshop_promostandardaward
gdmasterpromo,gdshop_promostandardcondition
gdmasterpromo,prs_redemptioncode
gdmasterpromo,prs_redemptioncodestatus
godaddy,acct_company
godaddy,acct_domaintransactiontype
godaddy,acct_glchart
godaddy,acct_merchantaccount
godaddy,bb_emailgroupconstant
godaddy,bb_emailgroupconstantlocalevalue
godaddy,crm_callreasoncategory
godaddy,crm_callreasonprod_mtm_cat
godaddy,crm_callreasonproduct
godaddy,crm_callreasonsave
godaddy,crm_newshopperproductexclusionlookup
godaddy,crm_newshoppertransfers
godaddy,crm_portfolio
godaddy,crm_portfolio_audit
godaddy,crm_portfoliometric
godaddy,crm_portfolioshoppermap
godaddy,crm_portfoliostatus
godaddy,crm_portfoliotype
godaddy,crm_portfoliotype_audit
godaddy,crm_portfoliotype_mtm_manageruser_audit
godaddy,crm_productbillingnamespace
godaddy,crm_receipt_move_audit
godaddy,crm_shoppersourcetypelookup
godaddy,crm_socialmediainfluencer
godaddy,dba_emailtemplate
godaddy,dba_emailtemplate_mtm_source_code
godaddy,dba_emailtemplatehistory
godaddy,dba_emailtemplatelookup
godaddy,dba_parkedtemplate
godaddy,dba_product_types
godaddy,dbp_authletteremailhistory
godaddy,dbp_authletterrequest
godaddy,dbp_carrier
godaddy,dbp_domaincontactinfo
godaddy,dbp_domaincontactinfoaudit
godaddy,dbp_incident
godaddy,dbp_message
godaddy,dbp_packagedetail
godaddy,dbp_packagetype
godaddy,dbp_userpackagestatus
godaddy,dns_servers_nameservers
godaddy,email_group
godaddy,email_groupconstant
godaddy,email_groupdetail
godaddy,email_mcp
godaddy,fraudproducttypesfilterforprocessing
godaddy,gdshop_abandonedcartemaillog
godaddy,gdshop_abandonedcartemailresult
godaddy,gdshop_account_status_id
godaddy,gdshop_adword
godaddy,gdshop_adwordcoupon
godaddy,gdshop_adwordcouponamount
godaddy,gdshop_adwordcouponamount_mtm_gdshop_product_resellertype
godaddy,gdshop_adwordcouponbatch
godaddy,gdshop_bizsparksubmission
godaddy,gdshop_blockedcountry
godaddy,gdshop_blockedcountryregion
godaddy,gdshop_bundle_billing
godaddy,gdshop_buyerprofile
godaddy,gdshop_commissionjunction
godaddy,gdshop_common_purchase_log
godaddy,gdshop_common_purchase_log_mtm_resource
godaddy,gdshop_crosssellconfiguration
godaddy,gdshop_currencytype
godaddy,gdshop_currencytypeconversionrate
godaddy,gdshop_deferrmentconfigurationtype
godaddy,gdshop_dependent_resource
godaddy,gdshop_dept
godaddy,gdshop_dept_prod_acct_gr
godaddy,gdshop_dept_prod_acct_gr_name
godaddy,gdshop_dns_billing
godaddy,gdshop_domain_registration
godaddy,gdshop_domain_registration_offset
godaddy,gdshop_domain_registration_premiumattributes
