ac_nmdwh,dim_domain_mkt_hist
cust_contact,contact_directmail_importfile
cust_contact,contact_email
cust_contact,contact_email_bounce
cust_contact,contact_email_detail
cust_contact,contact_email_offer
cust_contact,contact_email_open
cust_contact,contact_email_resource
cust_contact,contact_emailrespondermart
cust_contact,contact_iris_incident
cust_contact,contact_iriscategory
cust_contact,contact_irispriority
cust_contact,contact_irisservice
cust_contact,contact_irisstatus
cust_contact,contact_sitevisit
cust_contact,customermap
cust_contact,dba_errorlog
cust_contact,fboffer_recoverylog
cust_contact,ref_call_calltype
cust_contact,ref_sitevisit_sites
cust_contact,ref_source
cust_customertracking,businessline
cust_customertracking,gdshoppercrossover
cust_customertracking,persona
cust_customertracking,personasource
cust_customertracking,productinterestscores
cust_customertracking,productrenewalattributeresourcemapping
cust_customertracking,rptdimportfoliosegment
cust_customertracking,segment
cust_customertracking,segmentgroup
cust_customertracking,segmentgroupmap
cust_customertracking,segmentmodelresult
cust_customertracking,segmentsource
cust_customertracking,shopperbusinesslineprams
cust_customertracking,shopperbusinesslineprams_mtm
cust_customertracking,shopperbusinesslinequantity
cust_customertracking,shopperbusinesslinerecentactivity
cust_customertracking,shopperdomaincount
cust_customertracking,shopperheader
cust_customertracking,shopperheaderaudit
cust_customertracking,shopperlcaprobability
cust_customertracking,shopperscoreloadconfig
cust_customertracking,shopperweeklyorder
cust_customertracking,shopperweeklyvisit
cust_customertracking,shopperweeklyvisitrecency
cust_drone,rptdomain
cust_drone,rptdomainmarketsharetype
cust_drone,rptgddomainattributes
cust_drone,rptgddomains
cust_drone,rpthostingdomains
cust_drone,rptmarketsharetype
cust_drone,rptsource
cust_survey,ccs_answerlookup
cust_survey,ccs_categories
cust_survey,ccs_productlookup
cust_survey,ccs_productsqueried
cust_survey,ccs_respondentinformation
cust_survey,ccs_survey
cust_survey,ccs_surveyquestions
cust_survey,cos_survey
cust_survey,csf_admingroup
cust_survey,csf_agent
cust_survey,csf_alreadyimplemented
cust_survey,csf_answer
cust_survey,csf_category
cust_survey,csf_classificationtype
cust_survey,csf_comingsoon
cust_survey,csf_keyindicator
cust_survey,csf_question
cust_survey,csf_questiontype
cust_survey,csf_respondanttype
cust_survey,csf_survey
cust_survey,csf_surveyadvocacy
cust_survey,csf_surveyanswer
cust_survey,csf_surveysent
cust_survey,csf_surveysource
cust_survey,csf_surveysourcetype
cust_survey,csf_surveytaken
cust_survey,csf_surveytaken_mtm_pfid
cust_survey,csf_surveytakenanswers
cust_survey,csf_surveytakenstatus
cust_survey,csf_takenstatustype
cust_survey,css_conversion
cust_survey,phx_answer
cust_survey,phx_question
cust_survey,phx_questionanswer_mtm
cust_survey,phx_respondent
cust_survey,phx_respondentanswer_mtm
cust_survey,phx_survey
cust_survey,phx_surveyanswer_mtm
cust_survey,phx_surveyquestion_mtm
cust_survey,pqc_answermarket
cust_survey,pqc_market
cust_survey,sbad_adtype
cust_survey,sbad_adtypeid
cust_survey,sbad_answerlookup
cust_survey,sbad_genderagerange
cust_survey,sbad_politicalaffiliation
cust_survey,sbad_respondentinformation
cust_survey,sbad_surveyanswers
cust_survey,sbad_surveyquestions
